,international_reputation,weak_foot,skill_moves,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,Attack_workrate,Defend_workrate,Positon_General,preferred_foot_Left,preferred_foot_Right,body_type_Akinfenwa,body_type_C. Ronaldo,body_type_Courtois,body_type_Lean,body_type_Messi,body_type_Neymar,body_type_Normal,body_type_PLAYER_BODY_TYPE_25,body_type_Shaqiri,body_type_Stocky,height_cm,weight_kg,age
0,3,3,2,53,52,86,78,45,70,60,70,81,76,74,79,61,88,53,81,90,75,92,64,82,89,47,65,62,89,91,92,85,13,10,13,11,11,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,193,92,27
1,3,3,2,30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82,91,90,87,7,11,7,13,5,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,187,89,28
2,4,3,2,54,33,83,65,45,59,60,31,65,61,61,73,57,82,57,78,89,59,89,49,91,88,28,50,50,84,94,91,89,3,3,2,4,3,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,187,85,34
3,4,3,3,66,63,92,80,69,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71,86,84,85,87,90,11,8,9,7,11,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,184,82,33
4,4,3,2,57,65,85,83,57,63,58,43,81,82,48,63,57,85,36,62,75,70,87,51,76,89,64,72,69,87,89,88,87,10,11,14,15,8,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,194,85,32
5,3,3,2,52,42,88,79,47,53,49,49,70,74,61,60,57,81,53,67,90,65,89,43,88,87,48,52,50,82,90,89,87,6,8,15,5,15,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,187,78,33
6,2,3,2,58,45,86,81,40,63,61,69,80,77,61,66,59,87,60,68,78,78,85,47,79,87,54,65,44,85,88,89,88,10,11,5,14,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,189,85,25
7,4,3,2,60,40,81,80,61,67,62,61,80,80,60,64,67,82,67,71,90,71,81,65,76,90,59,70,60,86,88,88,85,9,12,5,9,10,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,183,82,34
8,3,3,3,72,56,80,79,52,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68,66,84,89,87,88,6,10,9,12,7,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,189,86,32
9,4,3,3,64,55,87,81,60,68,65,53,85,81,46,55,64,87,59,71,68,65,85,51,71,89,56,79,68,89,90,89,86,15,6,10,5,6,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,191,94,30
10,3,3,2,64,45,82,79,38,62,63,69,85,75,61,66,59,87,50,78,84,78,79,58,81,88,54,62,58,86,90,90,86,16,6,14,16,14,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,186,81,30
11,3,3,3,87,73,70,84,60,81,80,63,79,85,91,90,89,85,85,64,81,92,61,66,77,83,83,78,59,82,74,83,84,13,15,13,6,13,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,170,68,30
12,3,3,3,68,33,84,82,31,64,55,32,82,79,72,76,69,85,68,61,89,76,75,35,80,86,59,68,47,86,86,87,87,6,6,12,10,13,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,183,75,25
13,1,4,2,40,42,82,73,40,67,34,30,69,69,70,69,48,83,51,50,78,75,85,30,86,86,30,57,56,81,92,87,83,10,13,12,8,12,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,187,80,24
14,3,3,2,61,51,79,80,65,64,72,62,73,77,66,72,62,82,66,83,88,71,86,74,82,87,51,58,61,82,87,88,85,15,10,14,12,15,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,182,75,25
15,3,4,3,91,66,74,87,67,83,85,61,85,85,77,68,84,87,84,76,79,94,66,71,86,80,80,84,44,85,78,80,79,8,15,7,15,15,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,176,73,24
16,3,4,2,44,48,84,77,58,69,56,61,85,75,55,60,61,84,55,74,85,68,82,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,190,85,32
17,3,4,2,52,50,85,76,40,66,48,55,74,74,61,72,56,83,60,82,84,77,88,64,82,82,44,63,40,82,86,82,80,12,11,11,12,10,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,189,89,19
18,3,3,2,36,40,83,75,42,55,46,52,76,77,79,86,63,83,38,52,79,72,86,53,77,82,44,59,43,84,87,86,85,11,11,9,5,14,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,191,81,26
19,2,3,2,34,22,86,78,33,43,28,30,69,63,53,87,34,81,33,77,40,66,94,62,83,81,26,40,32,75,85,89,87,15,7,14,7,15,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,195,97,23
20,1,2,3,89,57,63,79,32,78,78,30,71,81,83,86,78,84,74,74,62,94,65,65,80,82,76,77,55,79,81,83,80,11,8,10,7,14,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,178,64,25
21,2,3,2,47,37,81,69,30,50,36,44,62,60,67,70,54,79,39,72,89,64,88,48,89,85,24,27,38,75,88,86,86,9,11,7,10,15,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,185,80,24
22,2,4,2,55,39,82,81,37,57,59,31,75,76,77,74,62,84,60,58,86,75,82,46,80,87,54,66,49,82,90,83,81,10,10,9,12,7,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,186,81,24
23,3,2,2,27,25,80,60,16,54,30,10,61,65,81,83,68,82,60,40,86,72,82,12,86,86,25,22,26,85,87,87,89,8,6,8,15,12,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,189,83,28
24,4,4,3,82,63,74,82,68,79,78,85,79,82,79,86,78,84,78,85,83,85,74,80,69,82,76,77,79,80,80,80,80,5,7,14,15,9,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,180,78,27
25,3,3,3,84,41,70,83,34,78,74,47,74,84,79,83,80,84,82,68,77,90,74,36,84,83,75,74,45,82,83,83,85,13,13,15,9,15,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,173,73,27
26,4,4,5,89,73,75,85,63,89,84,67,77,92,82,80,85,85,86,82,77,79,78,70,81,81,83,80,59,85,71,79,82,12,5,5,5,9,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,174,75,31
27,3,3,3,84,55,76,81,68,80,78,59,71,81,81,85,78,84,77,80,79,91,78,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,180,80,28
28,2,3,4,86,58,68,81,62,85,82,69,75,84,89,90,82,84,79,80,72,92,60,68,73,78,78,78,46,82,79,80,80,6,9,15,14,14,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,182,74,25
29,3,3,2,78,53,82,79,46,65,59,39,63,79,79,83,70,85,68,62,85,83,79,51,86,83,62,63,42,76,81,84,86,10,7,8,14,10,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,182,76,23
30,3,2,3,89,65,74,84,67,82,87,79,87,83,84,85,73,83,70,80,80,91,68,76,78,80,76,76,81,80,80,81,79,13,8,12,11,14,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,181,71,26
31,3,4,2,49,25,80,73,27,66,45,16,71,71,65,66,62,81,59,65,76,62,78,60,78,85,32,64,41,82,88,87,84,8,10,7,14,13,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,189,78,27
32,4,3,2,46,46,82,71,23,58,44,47,61,62,64,70,63,82,48,63,88,82,83,56,92,84,40,48,57,79,86,85,82,8,15,5,9,10,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,188,81,36
33,3,2,2,47,44,85,65,46,58,29,35,54,60,66,76,54,81,64,77,86,69,87,48,88,76,49,45,24,81,85,86,86,6,8,5,12,5,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,186,85,31
34,4,4,2,69,34,85,75,52,64,53,31,83,70,64,67,55,82,52,78,73,66,91,58,81,80,47,75,46,84,83,87,86,7,12,15,6,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,192,90,30
35,3,3,2,81,46,75,80,51,69,68,58,80,77,73,68,72,86,73,68,77,83,70,60,84,86,62,74,66,78,85,87,86,13,9,10,6,5,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,178,76,29
36,3,2,2,81,51,74,78,57,79,76,71,75,78,87,94,66,83,70,86,83,89,77,69,78,81,68,69,63,75,78,84,83,12,6,16,15,8,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,183,70,29
37,3,3,2,45,39,81,72,44,57,32,30,67,64,60,67,52,80,55,46,90,79,88,41,92,82,34,50,47,75,85,85,80,9,11,14,9,7,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,190,83,30
38,2,3,2,36,30,77,72,28,65,36,24,71,70,60,66,60,78,53,64,78,72,80,46,85,86,31,45,34,76,88,86,82,9,14,12,8,9,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,188,78,24
39,1,4,3,88,56,68,81,50,76,82,80,82,82,79,81,74,82,74,76,66,83,62,63,73,79,73,78,55,75,76,83,79,14,15,14,6,7,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,180,69,20
40,2,4,2,35,20,80,75,24,55,30,27,69,64,64,77,48,81,38,44,72,64,93,25,76,80,27,61,38,75,83,87,84,11,8,7,9,14,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,195,97,23
41,2,3,2,53,36,79,80,42,69,46,30,79,76,70,85,69,84,64,69,81,74,84,48,76,81,33,67,40,80,84,84,80,10,9,13,6,9,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,187,91,23
42,2,4,3,62,29,83,82,27,69,47,29,75,80,65,71,60,82,59,46,75,77,77,38,79,81,49,67,44,82,85,85,82,7,15,11,10,8,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,188,70,25
43,3,2,3,84,50,65,81,58,84,85,81,79,83,86,84,84,83,86,79,64,90,63,79,68,81,75,68,51,81,75,78,79,7,13,10,7,13,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,171,69,23
44,2,3,2,36,40,80,76,28,63,30,27,67,73,68,79,60,79,55,66,75,75,83,44,87,82,34,49,44,75,82,84,86,9,7,10,6,15,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,187,79,23
45,2,3,3,85,60,71,81,68,78,81,83,73,83,79,78,69,83,78,83,92,85,69,76,76,82,72,73,60,79,78,83,84,6,12,9,6,13,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,178,74,25
46,1,4,2,60,29,79,74,22,50,51,48,64,71,74,71,71,81,69,67,79,73,79,27,88,84,49,42,41,72,83,85,82,7,15,7,10,10,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,178,72,27
47,3,3,3,57,55,80,82,43,68,66,51,81,78,75,72,71,83,70,71,87,69,73,70,80,84,61,75,52,76,79,83,82,10,15,13,12,8,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,184,73,28
48,4,3,2,61,45,83,73,46,63,61,52,66,70,48,51,50,80,41,73,61,65,87,55,83,82,41,59,63,81,85,85,81,10,9,5,8,6,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,190,85,33
49,3,3,2,38,27,77,74,31,59,53,45,72,71,50,46,53,82,56,65,76,45,81,53,81,86,30,57,37,75,89,87,85,8,6,5,9,8,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,190,82,33
50,3,3,2,48,43,80,70,51,67,32,39,69,71,62,66,61,80,57,70,81,59,77,41,82,85,43,58,49,81,85,85,83,12,6,10,13,12,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,186,78,34
51,3,3,2,62,51,80,72,49,60,55,74,72,70,40,45,51,77,33,80,79,66,90,64,80,83,42,63,69,77,82,83,83,14,6,13,13,14,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,189,90,32
52,4,3,3,68,55,81,77,63,66,70,76,82,79,58,63,66,77,56,81,78,65,79,73,86,84,54,71,75,77,79,83,81,11,12,10,7,14,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,189,86,32
53,3,3,2,52,54,84,75,57,51,50,39,72,70,55,57,58,78,58,69,89,65,79,56,91,83,48,53,45,79,82,84,83,12,5,8,11,12,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,183,81,31
54,2,3,3,25,37,82,73,39,65,62,56,77,72,61,52,33,83,35,75,66,82,86,60,75,86,20,65,72,85,87,86,85,11,9,9,13,11,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,192,88,31
55,1,3,2,40,38,83,74,44,56,45,49,61,70,83,78,77,85,68,53,69,76,73,41,88,84,38,42,56,71,85,87,82,16,15,13,15,10,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,185,80,27
56,2,3,2,62,31,79,79,33,58,50,32,75,78,73,77,73,77,62,55,77,80,84,39,88,83,39,60,50,80,79,81,81,7,8,14,15,9,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,189,80,23
57,2,3,4,76,50,58,76,42,80,61,30,65,80,91,92,88,82,82,74,80,91,65,60,81,81,72,62,38,79,77,81,80,16,12,10,14,12,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,177,67,25
58,2,3,2,40,33,84,69,35,64,45,25,65,65,61,66,61,78,55,58,83,67,78,39,72,86,28,50,36,70,86,86,82,5,10,5,5,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,190,84,24
59,2,2,2,54,36,82,77,50,69,63,22,74,70,54,67,51,82,42,66,67,70,80,48,78,83,48,72,42,79,83,85,79,11,15,10,7,10,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,194,90,27
60,2,3,2,35,34,85,72,27,47,34,28,69,68,52,58,60,80,45,43,86,51,77,31,83,83,29,41,37,75,86,83,83,14,13,14,13,12,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,187,79,28
61,2,3,2,68,32,81,75,34,60,35,56,72,69,66,76,57,82,50,72,75,61,82,44,88,80,39,57,40,72,82,85,82,14,15,10,12,8,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,190,85,26
62,3,4,3,79,62,64,80,56,82,78,45,78,81,85,86,79,81,77,73,75,85,66,62,75,81,74,76,60,81,78,83,78,16,12,15,11,11,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,175,70,25
63,2,2,3,80,58,74,77,44,73,68,40,67,78,80,82,77,81,82,66,86,91,74,47,84,82,72,68,46,81,83,78,79,13,9,10,15,16,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,172,65,26
64,3,3,4,83,63,72,84,50,78,78,60,78,82,77,79,69,80,74,65,43,89,69,66,68,79,69,83,57,76,75,79,78,14,16,11,15,10,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,178,68,27
65,1,2,3,84,48,54,79,49,83,59,42,73,78,89,90,76,81,75,65,62,79,77,40,73,75,73,78,56,79,75,77,78,13,9,15,7,14,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,181,83,26
66,2,4,2,70,32,80,78,38,55,55,37,61,78,68,78,60,77,69,54,81,78,79,28,78,81,37,53,45,73,77,85,84,12,7,10,15,7,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,180,76,29
67,2,2,2,67,42,81,76,48,60,57,46,71,69,72,70,67,81,66,61,80,77,82,50,85,82,51,65,51,69,83,83,82,15,6,15,15,7,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,187,79,28
68,2,3,3,85,63,72,78,57,80,75,56,72,81,87,90,77,78,78,75,71,84,76,65,75,78,71,73,51,77,76,82,80,9,7,13,8,15,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,175,80,26
69,1,3,2,44,48,87,76,47,69,38,46,75,75,47,53,54,80,56,68,84,70,90,52,84,78,61,66,44,82,81,83,79,14,16,9,14,9,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,194,100,26
70,3,3,2,50,55,81,76,37,46,52,69,69,70,64,65,48,75,53,78,74,70,81,41,82,82,31,49,61,69,81,82,79,6,10,13,10,15,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,191,84,30
71,3,3,3,68,44,83,68,38,67,66,60,67,73,49,65,57,73,46,64,81,75,86,50,81,77,45,57,49,78,79,83,82,15,9,12,14,6,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,192,84,33
72,2,3,3,90,60,80,78,64,80,85,88,77,77,71,68,62,83,58,95,79,83,74,86,86,82,78,77,80,90,82,83,81,16,15,8,16,6,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,187,81,33
73,2,3,3,74,56,72,82,52,80,66,39,71,79,79,85,79,80,61,71,84,87,75,58,77,78,76,73,53,76,83,82,84,12,13,14,13,12,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,187,80,28
74,3,3,2,17,42,80,70,39,64,39,19,74,62,44,63,32,75,31,50,50,77,94,30,83,80,49,64,72,74,84,85,85,16,13,15,16,13,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,196,92,28
75,2,4,3,83,72,75,82,79,75,74,56,74,82,74,83,63,80,49,77,72,92,85,78,73,76,80,71,65,78,75,83,79,8,13,15,6,9,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,191,90,27
76,1,3,2,40,56,83,67,63,60,72,58,58,64,68,74,61,78,63,74,91,76,79,61,86,82,58,50,62,70,77,85,84,18,12,14,11,18,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,181,82,35
