,short_name,Position,overall,value_eur
7,V. van Dijk,CB,90,78000000
11,K. Koulibaly,CB,89,67500000
16,G. Chiellini,CB,89,24500000
18,Sergio Ramos,CB,89,31500000
29,Piqué,CB,88,38000000
35,D. Godín,CB,88,28000000
40,A. Laporte,CB,87,56500000
45,Thiago Silva,CB,87,18500000
47,J. Vertonghen,CB,87,32500000
49,M. Hummels,CB,87,41000000
50,T. Alderweireld,CB,87,41000000
51,Jordi Alba,LB,87,40000000
56,Marquinhos,CB,86,51500000
57,M. Škriniar,CB,86,52000000
59,S. Umtiti,CB,86,50000000
61,J. Kimmich,RB,86,48000000
67,L. Bonucci,CB,86,28500000
73,M. de Ligt,CB,85,50000000
76,R. Varane,CB,85,45000000
77,N. Süle,CB,85,46500000
82,A. Robertson,LB,85,43500000
83,J. Giménez,CB,85,45000000
84,C. Lenglet,CB,85,45000000
90,K. Manolas,CB,85,37500000
92,D. Alaba,LB,85,38000000
94,Carvajal,RB,85,38000000
101,Marcelo,LB,85,28000000
103,Alex Sandro,LB,85,33000000
112,João Cancelo,RB,84,36500000
114,L. Hernández,CB,84,37500000
124,Alex Telles,LB,84,33000000
126,S. de Vrij,CB,84,31500000
128,Pepe,CB,84,6500000
133,Sokratis,CB,84,23000000
143,J. Boateng,CB,84,25000000
144,Azpilicueta,RB,84,25500000
148,K. Walker,RB,84,25500000
156,Felipe,CB,84,25000000
158,A. Romagnoli,CB,83,32000000
160,T. Alexander-Arnold,RB,83,32000000
165,J. Tah,CB,83,31000000
170,M. Akanji,CB,83,31000000
172,J. Stones,CB,83,30000000
174,Grimaldo,LB,83,29500000
177,D. Sánchez,CB,83,30500000
179,L. Digne,LB,83,28500000
191,D. Djené,CB,83,27000000
194,Bartra,CB,83,25500000
203,V. Kompany,CB,83,12000000
204,Raúl Albiol,CB,83,12000000
208,Miranda,CB,83,9500000
210,E. Garay,CB,83,16500000
216,David Luiz,CB,83,16500000
224,N. Otamendi,CB,83,19000000
